32 entidades

Escena,FPS Promedio,GPU (ms),CPU (ms),Draw Calls,Triangulos,Geometrias,Texturas,Shaders,Lineas,Puntos,Memoria RAM (MB),VRAM Estimada (MB)
Metricas Actuales,22.41,0.00,2.00,23,126999,14,28,12,0,0,146.00,0.04

Frame Time

43.65ms

Jitter

1.88ms

SSAO causa spikes de frame

Peor Frame

136.70ms

máximo registrado

Frame Budget

261.9%

de 16.67ms target 60fps

Efectos Activos

SSAO
Bloom
Noise
Vignette
Brightness/Contrast
