2 entidades

Escena,FPS Promedio,GPU (ms),CPU (ms),Draw Calls,Triangulos,Geometrias,Texturas,Shaders,Lineas,Puntos,Memoria RAM (MB),VRAM Estimada (MB)
Metricas Actuales,99.62,0.00,0.98,39,23510,12,3,5,0,0,109.73,0.16

Frame Time

9.98ms

Shader Complexity

2Luces

Pixel Fill Rate (GPU)

~9.98ms

Jitter

0.36ms
