4096 entidades

Escena,FPS Promedio,GPU (ms),CPU (ms),Draw Calls,Triangulos,Geometrias,Texturas,Shaders,Lineas,Puntos,Memoria RAM (MB),VRAM Estimada (MB)
Metricas Actuales,98.45,0.00,1.28,78,639956,8,3,12,0,0,226.30,0.01

Frame Time

10.00ms

Shadow Update Jitter

1.29ms

Render Passes / DC Mult

3x

Shadow Map VRAM

2.0MB

