1000 entidades

Escena,FPS Promedio,GPU (ms),CPU (ms),Draw Calls,Triangulos,Geometrias,Texturas,Shaders,Lineas,Puntos,Memoria RAM (MB),VRAM Estimada (MB)
Metricas Actuales,99.95,0.00,0.53,1,16000,1,1,1,0,0,121.00,0.00

Frame Time

10.00ms

Jitter

0.12ms

Load Time

36.3ms
