64000 entidades

Escena,FPS Promedio,GPU (ms),CPU (ms),Draw Calls,Triangulos,Geometrias,Texturas,Shaders,Lineas,Puntos,Memoria RAM (MB),VRAM Estimada (MB)
Metricas Actuales,99.22,0.00,0.88,1,1024000,1,1,1,0,0,325.73,0.00

Frame Time

10.00ms

Jitter

0.62ms

Load Time

120.2ms
