1.024.000 entidades

Escena,FPS Promedio,GPU (ms),CPU (ms),Draw Calls,Triangulos,Geometrias,Texturas,Shaders,Lineas,Puntos,Memoria RAM (MB),VRAM Estimada (MB)
Metricas Actuales,8.58,0.00,115.10,1,16384000,1,1,1,0,0,319.00,0.00

Frame Time

123.51ms

Jitter

8.74ms

Load Time

1627.2ms
