7 entidades

Escena,FPS Promedio,GPU (ms),CPU (ms),Draw Calls,Triangulos,Geometrias,Texturas,Shaders,Lineas,Puntos,Memoria RAM (MB),VRAM Estimada (MB)
Metricas Actuales,99.54,0.00,1.15,80,51062,17,15,11,0,0,134.36,0.16

Frame Time

9.98ms

Shader Complexity

7Luces

Pixel Fill Rate (GPU)

~9.98ms

Jitter

1.32ms
