16.384 entidades

Escena,FPS Promedio,GPU (ms),CPU (ms),Draw Calls,Triangulos,Geometrias,Texturas,Shaders,Lineas,Puntos,Memoria RAM (MB),VRAM Estimada (MB)
Metricas Actuales,99.23,0.00,1.08,43,1376788,7,2,7,0,0,128.30,0.01

Frame Time

10.01ms

Shadow Update Jitter

1.66ms

Render Passes / DC Mult

2x

Shadow Map VRAM

1.0MB
