2048 entidades

Escena,FPS Promedio,GPU (ms),CPU (ms),Draw Calls,Triangulos,Geometrias,Texturas,Shaders,Lineas,Puntos,Memoria RAM (MB),VRAM Estimada (MB)
Metricas Actuales,1.84,0.00,542.10,4108,564248,2058,3,2,0,0,331.00,7.66

Sim Step (WASM)

15.30ms

tiempo puro de Rapier

Cuerpos Activos

2048/ 2048

canSleep: false

Jitter

194.60ms

varianza frame time

Frame Budget

1444.3%

de 16.67ms (60fps)
